,Compound,Date,Negative Score,Neutral Score,Positive Score,Text,Tweets Ago,Username
478,0.0,Sat Oct 06 04:47:04 +0000 2018,0.0,1.0,0.0,"RT @marclacey: ""I flail, I gasp, and I make barbaric yawps—even though the pool I’m using is only four feet deep, even though I have a kick…",79,@nytimes
479,0.4404,Sat Oct 06 04:33:16 +0000 2018,0.0,0.861,0.139,"When Donald Trump was 3 years old, his father effectively made him a landlord. Here’s how Fred Trump’s maneuver cre… https://t.co/BWzvJNdjD7",80,@nytimes
480,0.4019,Sat Oct 06 04:17:01 +0000 2018,0.0,0.876,0.124,Ford is in talks with Volkswagen about a broad partnership that could help turn around its ailing operations in Eur… https://t.co/b03SFMpgSC,81,@nytimes
481,0.0,Sat Oct 06 04:08:57 +0000 2018,0.0,1.0,0.0,"Red Sox 5, Yankees 4 | Boston leads series, 1-0: Red Sox Hang On to Beat Yankees in Game 1 https://t.co/pRLiKEgjol",82,@nytimes
482,-0.9081,Sat Oct 06 04:02:08 +0000 2018,0.388,0.612,0.0,After the Chicago police officer Jason Van Dyke was found guilty of second-degree murder in the death of Laquan McD… https://t.co/vVuZgucG6K,83,@nytimes
483,0.3612,Sat Oct 06 03:55:05 +0000 2018,0.0,0.821,0.179,Want to share a confidential news tip with The New York Times? Here's how you do it: https://t.co/Q6c7hrPQd7 https://t.co/eaDV29QTst,84,@nytimes
484,0.0,Sat Oct 06 03:47:03 +0000 2018,0.0,1.0,0.0,"RT @ByJamesWagner: What Alex Cora means to baseball (where there are few Latino managers), Boston (a city with a complicated past &amp; many Pu…",85,@nytimes
485,0.0,Sat Oct 06 03:32:03 +0000 2018,0.0,1.0,0.0,Taking a trip down California's Highway 1 — now reopened in its entirety https://t.co/oGDHbTFeN8,86,@nytimes
486,0.6428,Sat Oct 06 03:17:06 +0000 2018,0.048,0.745,0.207,"RT @nytpolitics: Senator Steve Daines probably won’t be needed to confirm Judge Kavanaugh to the Supreme Court, but he’s ready to leave his…",87,@nytimes
487,0.0,Sat Oct 06 03:02:01 +0000 2018,0.0,1.0,0.0,Our investigation revealed that Donald Trump received the equivalent today of at least $413 million from his father… https://t.co/TLTNm4X7XC,88,@nytimes
488,-0.7574,Sat Oct 06 02:47:01 +0000 2018,0.276,0.662,0.062,"Global warming is bringing the planet into an era of wilder, more dangerous rains with ruinous and long-lasting con… https://t.co/cTi2B2LWn6",89,@nytimes
489,0.4939,Sat Oct 06 02:32:02 +0000 2018,0.0,0.868,0.132,"This simple change in the way you get out of your car can save lives — of cyclists, drivers and passengers. Here’s… https://t.co/1Xin36tgTB",90,@nytimes
490,-0.3089,Sat Oct 06 02:17:01 +0000 2018,0.093,0.907,0.0,RT @nytopinion: Most Americans are not where this Senate majority is. They do not support President Trump. They do not approve of relentles…,91,@nytimes
491,0.0,Sat Oct 06 02:02:01 +0000 2018,0.0,1.0,0.0,"The man that the Danish government says swindled it out of $2 billion resides in a 10,000 square foot home in Dubai… https://t.co/TjcEYEGDJg",92,@nytimes
492,0.4939,Sat Oct 06 01:45:09 +0000 2018,0.0,0.792,0.208,Senator Susan Collins took to the Senate floor and delivered a 45-minute point-by-point defense of her support for… https://t.co/FDzRLUqY25,93,@nytimes
493,0.2975,Sat Oct 06 01:30:03 +0000 2018,0.0,0.885,0.115,"To the right and left alike, Judge Kavanaugh’s nomination appears less like a final spasm of division — a sobering… https://t.co/jXFaMlvvFf",94,@nytimes
494,0.4019,Sat Oct 06 01:17:05 +0000 2018,0.0,0.876,0.124,RT @nytpolitics: Senator Susan Collins delivered a speech on the Senate floor explaining her decision to support Judge Brett Kavanaugh’s co…,95,@nytimes
495,0.0,Sat Oct 06 01:02:04 +0000 2018,0.0,1.0,0.0,Evening Briefing: Here's what you need to know at the end of the day https://t.co/AlQnsOMTpn,96,@nytimes
496,-0.296,Sat Oct 06 00:47:02 +0000 2018,0.115,0.885,0.0,"Citing 6 recent inmate deaths, a Cleveland judge said he would release people accused of low-level crimes on their… https://t.co/DAwLd9yvf9",97,@nytimes
497,0.4215,Sat Oct 06 00:32:06 +0000 2018,0.0,0.896,0.104,"The FDA approved an expansion of the age range for the HPV vaccine, so it can now be used in people ages 27 through… https://t.co/BLhkyefPiQ",98,@nytimes
498,-0.8271,Sat Oct 06 00:17:02 +0000 2018,0.325,0.675,0.0,RT @marclacey: Here's how rare it is for a police officer to face prison for killing a black person: https://t.co/S6IekxiOck,99,@nytimes
499,0.0,Sat Oct 06 00:02:05 +0000 2018,0.0,1.0,0.0,"At Babe Ruth's resting place, cemetery workers find ⚾🌭🍕🍻 and more https://t.co/DEHsWhJK7b",100,@nytimes
